,Unnamed: 0,Number,P_Name,Desc,locality,District,Zone,Contact_No,Openig_Time,Popular_for,Category,Latitude,Longitude,img_path,Charge
0,0,1,Trekkers' Home,"Nestled in the heart of Thamel, Kathmandu‚Äôs historic landing pad for travelers,Trekkers Home offers comfortable accommodation for backpackers,trekkers and tourists from across the globe.We have a total of 40 ...MoreNestled in the heart of Thamel, Kathmandu's historic landing pad for travelers,Trekkers Home offers comfortable accommodation for backpackers,trekkers and tourists from across the globe.We have a total of 40 ...Moreguest rooms, among them single, double, triple and family suites, all of which are complete with en-suite bathrooms. Our guest rooms feature fair-trade, traditional Nepali decor, while ceilings and windows exhibit Tibetan carvings and color schemes. Twelve of our guest rooms have open-air balconies, and all guests are invited to enjoy our rooftop terrace, which offers fantastic views of Kathmandu, Swayambhunath and the LhakpaDorjee and Ganesh Himalayan ranges. We Provide Free High Speed Broad Band WiFi.Our central Thamel location makes for the perfect starting point to get acquainted with Thamel‚Äôs wide variety. Guests can easily explore Durbar Square (15-minute walk), the Narayanhity Royal Palace (10-minute walk), Swayambhunath, or the ‚ÄúMonkey Temple,‚Äù (25-minute walk), and many more of the city‚Äôs most famous attractions. Trekkers home is half a mile from the Garden of Dreams and one mile from the British Embassy.Our hotel is 20 minutes (7Km) car drive from Kathmandu International Airport. Similarly the hotel is only 5 minutes walk from Tourist bus station and it is located central part of Thamel at J.P. road in front of Nepal Investment Bank Thamel. Taxi is the easiest way to get to our hostel. Less","Thamel,Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Family Rooms,Concierge,Dry Cleaning,Rooftop Terrace,Private Balcony,Free Parking,Breakfast included,Pool",Kathmandu Hotels,27.713508,85.310339,Trekkers' Home.jpg,
1,1,2,Hotel Family Home,,"Ashok Galli Jytha, Thamel,Ashok Galli Jytha, Thamel","Kathmandu 977, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Air Conditioning,Non-Smoking Rooms,Airport Transportation,Family Rooms,Rooftop Bar,Concierge, Laundry Service , Rooftop Terrace ,3 Star Hotel ",Kathmandu Hotels,27.71271,85.311754,Hotel Family Home.jpg,"NPR†1,105 - NPR†2,431 (Based on Average Rates for a Standard Room) "
2,2,3,Hostel Fireflies,"Vacation or Volunteering? Well you can do both at Hostel Fireflies. You can also volunteer for our NGO Bring Thoughts To Action while staying at Fireflies. Fireflies is one of its kind a real youth hostels in ...MoreVacation or Volunteering? Well you can do both at Hostel Fireflies. You can also volunteer for our NGO Bring Thoughts To Action while staying at Fireflies. Fireflies is one of its kind a real youth hostels in ...MoreKathmandu. If you are a social person, this is the place for you. We have been labeled as the young traveler's hub of Kathmandu. At Fireflies you get a dormitory accommodation which includes toiletries, packaged drinking water, wi-fi connectivity and 24 hrs hot water shower. A lot of fun filled activities every day and immense love !!!! !!!NAMASTE!!! Less","No. 179 Paknajol Marg, House,No. 179 Paknajol Marg, HouseWard No.16 next to Nilgiri Public School","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Restaurant,Airport Transportation,Rooftop Bar,Laundry Service,Free Parking,Breakfast included,Pool,Room Service,Kitchenette,Business Center",Hostels in Kathmandu,27.717307,85.308269,Hostel Fireflies.jpg,"NPR†1,105 - NPR†2,431 (Based on Average Rates for a Standard Room) "
3,3,4,Swayambhu View Guest House,"Swayambhu View Guest House is a perfect place for those who prefer the meditative atmosphere of serenity near oldest buddhist stupa in the world. Staying here you can easily combinate your spiritual practices near ...MoreSwayambhu View Guest House is a perfect place for those who prefer the meditative atmosphere of serenity near oldest buddhist stupa in the world. Staying here you can easily combinate your spiritual practices near ...MoreSwayambhu with pilgrimages to holy places around Kathmandu Valley. In our guesthouse you can also get a good relax before or after your trackings to Himalayas. The tourist center of Kathmandu with numerouse restaurants, stores and entertaining places - Thamel - is pretty close to Swayambhu, just 15 minutes by taxi. * Full furnished double rooms with private facilities * all time hot water * backup lighting during eletricity outages (it is usually in Kathmandu Valley) * free WiFi in all house (backup power during electricity outages) * fully equipped common kitchen for self-cooking * laundry service * sunny green yard * rooftop terrace with spectacular views to Swayambhu stupa and surrounding hills. Also it is a perfect place for buddhist prostrations, any kind of yoga etc. * Taxi and transportation service Less","Devithan Galli st., 600/179,Devithan Galli st., 600/179Swayambhu, Kimdol Road","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Non-Smoking Rooms,Airport Transportation,Family Rooms,Kitchenette,Multilingual Staff, Laundry Service , Rooftop Terrace ",Kathmandu B&Bs / Inns,27.711694,85.287906,Swayambhu View Guest House.jpg,"NPR†1,105 - NPR†2,431 (Based on Average Rates for a Standard Room) "
4,4,5,Shree Tibet Family Guest House,,"133 Thamel Bhagwati Marg,133 Thamel Bhagwati MargP.O.Box: 9299","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast Available,Non-Smoking Hotel,Airport Transportation,Family Rooms,Concierge,Laundry Service, Rooftop Terrace , Shuttle Bus Service ,Star rating provided by Expedia.3 Star Hotel ",Kathmandu Hotels,27.716585,85.310645,Shree Tibet Family Guest House.jpg,"NPR†1,105 - NPR†2,763 (Based on Average Rates for a Standard Room) "
5,5,6,Dormitory Nepal,"Dormitory Nepal in short Dorm Nepal is a vacation rental, located in one of the most posh locations, in Kathmandu. We have opened up this hostel in Nepal, with a sole purpose of serving all kind of travelers ...MoreDormitory Nepal in short Dorm Nepal is a vacation rental, located in one of the most posh locations, in Kathmandu. We have opened up this hostel in Nepal, with a sole purpose of serving all kind of travelers ...Moreto the country. Let it be budget travelers, volunteers, short term or long term visitors, we try our level best to provide comprehensive accommodation for all. Less",",Geetanjali Marg, Baluwatar","Kathmandu 44616, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Non-Smoking Hotel,Airport Transportation,Kitchenette,Multilingual Staff,Laundry Service,Shuttle Bus Service,Free Parking",Hostels in Kathmandu,27.732447,85.338818,Dormitory Nepal.jpg,"NPR†1,105 - NPR†2,763 (Based on Average Rates for a Standard Room) "
6,6,7,Alobar1000 Hostel,"Alobar1000 is a hostel established for the very purpose of a true Nepali experience. We understand that your travel is very much important and that involves your experience. As a hostel, we help in ...MoreAlobar1000 is a hostel established for the very purpose of a true Nepali experience. We understand that your travel is very much important and that involves your experience. As a hostel, we help in ...Moreproviding a home space for your stay in Nepal. Once you feel at home your experience will be a great one, that is what we believe. Please come and experience Nepal. Less","29 214 Kesarmahal Marg, Thamel,29 214 Kesarmahal Marg, Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Restaurant,Airport Transportation,Rooftop Bar,Laundry Service,Rooftop Terrace,Free Parking,Breakfast included,Air Conditioning,Pool,Non-Smoking Hotel,Room Service,Suites",Kathmandu B&Bs / Inns,27.715683,85.314228,Alobar1000 Hostel.jpg,"NPR†1,105 - NPR†2,763 (Based on Average Rates for a Standard Room) "
7,7,8,Asmita Bed & Breakfast,,"Lekhnath Marg,Lekhnath MargThamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Restaurant,Airport Transportation,Room Service,Bar/Lounge,Laundry Service, Rooftop Terrace , Babysitting ",Kathmandu B&Bs / Inns,27.717461,85.311941,Asmita Bed & Breakfast.jpg,"NPR†1,547 - NPR†2,210 (Based on Average Rates for a Standard Room) "
8,8,9,Hotel Silver Home,"Hotel Silver Home is located right in the heart of Thamel district, Kathmandu but in an enviable alleyway location away from the bustling crowds so you can relax after a busy day‚Äôs sightseeing.In the hotel ...MoreHotel Silver Home is located right in the heart of Thamel district, Kathmandu but in an enviable alleyway location away from the bustling crowds so you can relax after a busy day‚Äôs sightseeing.In the hotel ...Moresurrounds are many restaurants, pubs, shops, and businesses and we are within walking distance to the main sights of Kathmandu such as Durbar Square, Freak Street and a short walk to the Tourist Bus Stop for services to other parts of Nepal. We are only 25 minutes drive from Tribhuvan Kathmandu International airport from where we provide airport pick up and drop off service. We are also 25 minutes drive to surrounding Kathmandu areas such as Bauddha Nath, Pasupati Nath and Patan Durbar Square.From our rooftop terrace you can watch the sunrise and sunset over Kathmandu Valley as well as dine in our restaurant.We cater to travellers and backpackers on budgets and our accommodation is cheap, clean and our service is warm and friendly, 24 hours a day. Our hospitality exemplifies our nation‚Äôs philosophy ‚ÄòAthiti Devo Bhawa‚Äô, ‚ÄòGuests are like gods‚Äô.Our staff speak fluent English, and some speak Chinese, Japanese, Hindi, and of course, Nepali.Hotel Silver Home offers:‚Ä¢ 4 Deluxe Rooms (single/double beds)‚Ä¢ 5 Standard Suite Rooms (single/double/twin/triple beds) ‚Ä¢ 6 Normal Rooms (single/double/twin/triple beds)‚Ä¢ 1 Dormitory with 10 bedsThe hotel‚Äôs restaurant serves a variety of continental, Nepali, Indian, Chinese as well as vegetarian dishes.  Less","Thamel, Chibahal,Thamel, Chibahal","Kathmandu 00977, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Non-Smoking Rooms,Airport Transportation,Concierge,Laundry Service,Rooftop Terrace,Free Parking,Pool,Restaurant,Room Service,Suites,Rooftop Bar",Kathmandu Hotels,27.713576,85.311804,Hotel Silver Home.jpg,"NPR†1,547 - NPR†2,210 (Based on Average Rates for a Standard Room) "
9,9,10,Elbrus Home,"Elbrus Home, formerly known as Kathmandu Tourist Bungalow, was established in 2003. The hostel lies in the hub of the tourist center Thamel. It is located nearby several supermarkets, bus stations, travel and ...MoreElbrus Home, formerly known as Kathmandu Tourist Bungalow, was established in 2003. The hostel lies in the hub of the tourist center Thamel. It is located nearby several supermarkets, bus stations, travel and ...Moretrekking agencies, restaurants and bars, bookshops, and internet cafes. In addition, most embassies are easily accessible from the guesthouse. Rooms offer twin size and king size beds, a television, hot shower, and western style toilets. Guests can enjoy mountain top views from the rooftop terrace, while enjoying a refreshing meal from the restaurant. Staff is on service 24 hours a day and can help guests book sightseeing tours, safari and rafting trips, trekking, and mountaineering. Less","Thamel,ThamelGolkopacka","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Non-Smoking Rooms,Airport Transportation,Rooftop Terrace,Free Parking,Pool,Restaurant,Rooftop Bar,Fitness center,Kitchenette,Pets Allowed",Hotels in Kathmandu,27.720399,85.31275,Elbrus Home.jpg,"NPR†1,547 - NPR†2,210 (Based on Average Rates for a Standard Room) "
