,Unnamed: 0,Unnamed: 0.1,Number,P_Name,Desc,locality,District,Zone,Category,Latitude,Longitude,Popular_for,img_path,Openig_Time
60,60,60,61,55 Window Palace,"TripAdvisor gives a Certificate of Excellence to accommodations, attractions and restaurants that consistently earn great reviews from travelers for this place",Durbar Square,"Bhaktapur 44800, ","Bhaktapur 44800, ","Sight & Landmark,Historical Site,palace",27.672128,85.428596,4.5,55 Window Palace.jpg,Always Open
21,21,21,22,Aarya Ghat,No description,Pashpatinath Marg,Kathmandu,Bagmati,"Sight & Landmark,Points of Interest & Landmarks,Religious ",27.709497,85.348487,4,Aarya Ghat.jpg,Always Open
198,198,198,199,Adventure Kora,No description,,"Kathmandu 44600, ",Bagmati,"Nature & Park,Tour,Outdoor Activities,Multi-day Tour,Eco Tours,Hiking & Camping Tour, Climbing Tour, Nature & Wildlife Areas",27.7273,85.340655,,Adventure Kora.jpg,12:00 AM-11:59 PM
41,41,41,42,Akash Bhairav Temple,"Sights & Landmarks,Sacred & Religious Sites",Indra Chowk,"Kathmandu 44600, ",Bagmati,Temple,0,0,4.5,Akash Bhairav Temple.jpg,Always Open
188,188,188,189,Amideva Buddha Park,No description,Amideva Buddha Park,"Kathmandu 44600, ",Bagmati,"Nature & Park,Garden",27.716145,85.283887,4.5,Amideva Buddha Park.jpg,Always Open
168,168,168,169,"ARTUDIO ""Centre for Visual Arts""",No description,15 Swoyambhu,"Kathmandu 44600, ",Bagmati,"Art Gallery,Museum,Shopping",27.711606,85.289684,,"ARTUDIO ""Centre for Visual Arts"".jpg",7:00 AM-7:00 PM
62,62,62,63,Ashok Stupa,"Sight & Landmark,Monument & Statue,Historical Site","Ashok Galli, ThamelSouth Thamel","Kathmandu 44600, ",Bagmati,Building and monument,27.712127,85.311217,3,Ashok Stupa.jpg,Always Open
165,165,165,166,Aviation Museum,No description,Sinamangal,"Kathmandu, ","Kathmandu, ",Museum Specialty ,27.693972,85.35357,,Aviation Museum.jpg,Always Open
96,96,96,97,Babar Mahal Revisted,"Rana Palace,Best Architectural Buildings, Sights & Landmarks",Rana Palace,"Kathmandu 44600, ",Bagmati,Architectural BuildingsSights & Landmarks,27.694248,85.322652,4.5,Babar Mahal Revisted.jpg,Always Open
105,105,105,106,Bachhareshwari� Mandir Temple,No description,"Pashpatinath Marg,Next to Bagamati Bridge","Kathmandu 44600, ",Bagmati,"Architectural Building,Sacred & Religious Site,temple",27.70994,85.348679,5,Bachhareshwari　Mandir Temple.jpg,Always Open
