,Unnamed: 0,Number,P_Name,Desc,locality,District,Zone,Contact_No,Opening_Time,Popular_for,Category,Latitude,Longitude,Img_Path,Charge
0,0,1,Fusion Himalaya Restaurant,"
On the first floor of â€œFusion Himalaya "" You will find a cozy restaurant with classic interior, dominant with calm and warm colors. The restaurant could serve up to 20 persons at the same time. We are ready to arrange you an unforgettable celebration, restaurant staff will take care about all the small details. Food will taste healthy and tasty at same time . -Fusion Himalaya and Team
",Paknajol Marg,"Kathmandu 44600, ",  Bagmati Zone,+977 984-0444524,8:00 AM - 10:00 PM,"Indian, Asian",Restaurant and  Cafe ,27.715836,85.308675,Fusion Himalaya Restaurant.jpg,"NPRÂ 221 -
NPRÂ 443"
1,1,2,Thamel Doner Kebab,"
Our main food are kebab and falafel. We are using the fresh organic green vegetables in our wraps. We are specialized in preparing the hummus, tahini, garlic sauce, salsa and chimichuri sauce, which we make our-self with a great passion and dedication. The bread used for the wrap is prepared in our own kitchen which you will love for its softness and taste.
",Chaksibari Marg,"Kathmandu 44600, ",  Bagmati Zone,+977 984-1411215,12:00 PM - 9:30 PM,"Fast Food, Mediterranean, Middle Eastern",Restaurant and Fast Food,27.717439,85.310252,Thamel Doner Kebab.jpg,NPRÂ 332
2,2,3,Blueberry Kitchen & Coffee Shop,"
Blueberry Kitchen & Coffee Shop has been established by an experienced team of professionals in the Food and Hospitality Industry. We ensure quality in both our food and service.
","Chhetrapati, Thamel","Kathmandu 44600, ",  Bagmati Zone,+977 1-4216959,7:00 AM - 10:00 PM,"Italian, International, European",Restaurant ,27.712541,85.308724,Blueberry Kitchen & Coffee Shop.jpg,"NPRÂ 221 -
NPRÂ 2,213"
3,3,4,Forest and Plate,"
We serve you the best locally sourced fresh herbs and organic leaves right into the heart of Thamel, Kathmandu. Welcome to the Forest and Plate. Organic Salad, Organic Coffee, Free Wifi, Rooftop view with Stupa, Cocktails and full Bar option, Waitstaff, Live Kitchen.
",Mandala Street,"Kathmandu 44600, ",   Bagmati Zone,+977 1-4701161,11:00 AM - 10:00 PM,"European, Asian, Nepali",Restaurant ,27.715105,85.310972,Forest and Plate.jpg,"NPRÂ 443 -
NPRÂ 775"
4,4,5,Nirvana Cafe & Restaurant,"
nirvana flavor cafe n restro after earthquiek restar new place bijeshwori ktm we are misplace swoyambhu stupa old nirvana cafe shift downtown bijeshwori close to retreat appartment way to thamel plese hearty welcome Family Restro envieroment really close to the monkey temple, we are enjoy rooftop terrace From international cuisine [nepalese, Indian, chinese, Italian, continentel, korean ramen] meal or a coffee from a nepalese Himalayan arabica Organic Coffee,nepalese beer, nepalese wine,fresh juice,cake,ice cream with marvelous views to the city of Kathmandu.we can see swoyambhu stupa buddha eye,Nagargun royel palace, langtang peak,jhamacwo hill shivapuri nationnalpark,kapan hill,everest region,
",Bijeswori Way To Swoyambhu Stupa Shift Afte Rearthquiek,"Kathmandu 44600, ",  Bagmati Zone,+977 1-4276031,7:30 AM - 9:30 PM,Asian,"Restaurant ,Bar, Café",45.517042,-122.660418,Nirvana Cafe & Restaurant.jpg,"NPRÂ 443 -
NPRÂ 775"
5,5,6,Melrose Restaurant & Bar,"
Our casual dining with lush greenery is tucked away in a beautiful courtyard garden, the kind of alfresco outdoor dining, away from the bustle of the streets of Thamel..From a healthy or hearty breakfast, to a light or luscious lunch, or a simply divine dinner, you can enjoy a range of tasty & nutritious meals throughout the day. Menu features diverse flavors with great value & portions.
",350 Amrit Marg,"Kathmandu 44600, ",Bagmati Zone,+977 1-4258861,8:00 AM - 11:00 PM," International, European",Restaurant and Bar,27.71348,85.312512,Melrose Restaurant & Bar.jpg,"NPRÂ 443 -
NPRÂ 775"
6,6,7,Kathmandu Steak House Restaurant,"
Kathmandu Steak House lies in the centre hub of the thamel.
","Chaksibari Marg, Thamel","Kathmandu 44600, ",Bagmati Zone,+977 1-4264946,12:00 PM - 10:00 PM,"Steakhouse, European, Nepali",Restaurant,27.713494,85.310301,Kathmandu Steak House Restaurant.jpg,"NPRÂ 332 -
NPRÂ 2,768"
7,7,8,Sarangi Vegetarian Restaurant,"
A social business that's contemporary in design, we serve high quality, vegetarian and vegan dishes. We welcome guests with good hearts that care about Nepal, its people and the environment. We have aquaponic garden on the rooftop growing organic veggies on site. Conveniently located right next door to the Kathmandu Guest House in the heart of Thamel, our restaurant is situated off the main street in the Shiva complex. We are at the back of the courtyard on the upper floors. This quiet location allows you to enjoy our delicious food, in a peaceful and spacious environment. We're proud to be 100% social business meaning all of our profits go toward empowering and assisting the Gandharba people in Nepal who rank lowest amongst the castes. Our experienced local chefs offer unique dishes that will WOW your taste buds and the presentation is simply divine! It will be easy to spend your morning, afternoon or evening with us as we offer a variety of settings and seating arrangements including a peaceful terrace for lounging which includes a cinema. As well, we're equipped with exceptionally fast WIFI for your convenience. We invite you to visit us and indulge in our amazing one-of-a-kind dishes, local music and feel satisfied knowing you just made a difference in anothers life.
",Thamel -29,"Kathmandu Kathmandu, ",  Bagmati Zone,+977 981-3992602,12:00 PM - 11:00 PM,"Indian, Fusion, Vegan Options",Restaurant ,27.715264,85.309962,Sarangi Vegetarian Restaurant.jpg,"NPRÂ 221 -
NPRÂ 664"
8,8,9,Dwarika's Hotel,"
",Pashupatinath,"Kathmandu 44600, ", Bagmati Zone,+977 984-1661708,12:00 PM - 11:00 PM,"Asian, Nepali, Vegetarian Friendly",Restaurant ,27.70513,85.342262,Dwarika's Hotel.jpg,"NPRÂ 221 -
NPRÂ 664"
9,9,10,French Bakery kathmandu,"
Not just a typical Bakery. A European fusion of best food, great coffee and cakes in town.
",Paknajol Chetrapati,"Kathmandu 44600, ",  Bagmati Zone,+977 1-4251998,7:00 AM - 9:00 PM,"Australian, French, European",Restaurant ,27.712736,85.308687,French Bakery kathmandu.jpg,"NPRÂ 1,107"
