,Number,P_Name,Desc,locality,District,Zone,Category,Latitude,Longitude,Popular_for,img_path,Charge_Per_Head
0,31,"
Poon Hill Panorama Trek ",A perfect chance to witness the spectacle of the sky-high; snow clad peaks of the Annapurna region.  A chance to intermingle with the ethnic populations that populate the Annapurna region.  A short yet sweet journey to get away from the hustle and bustle of daily life and explore dramatic panoramic profiles that Nepal boasts.,"Himalayan Partner Treks & Expedition,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3,"
Poon Hill Panorama Trek .jpg","
NPR�104,984 per adult
"
1,32,"
Everest Base Camp Rapid Trek ","Witness the views and explore the base camp of the mighty Everest Amalgamate with ethnic populations residing all through the Khumbu region. Unveil the mystery of Khumbu region by passing through an off-beaten path. Highest altitude covered is the Kalapathhar (5545m) The opportunity to witness the views of the highest peak in the world is surely a thrilling experience. Mix it in with the chance to trek to the Base Camp of Everest (8848m), and you have to yourself, the Everest Base Camp Trek.","Himalayan Partner Treks & Expedition,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3,"
Everest Base Camp Rapid Trek .jpg","
From NPR�138,136.81
"
2,33,"
Manaslu and Tsum Valley Trek ","Manaslu Tsum valley trek is one of the Nepal’s Himalayan charms to observe a dazzling collection of panoramas, peak and serene valleys. The trekkers who trek to the Manaslu and Tsum region will take pleasure in a marvelous array of geographical landscapes and cultural diversity.Manaslu Tsum valley trek can explore wilderness and get opportunity to explore the local culture of the traditional villages of Samagaon and Samdo and observe the lifestyle of Tibetan people.Tsum valley was only opened for trekkers few years ago and the trail traverses through pristine areas where you will witness the beauty of nature than any other places. This trek suits best to those who are looking for the challenging Treking in Nepal and it is also a part of the Great Himalayan trail. Manaslu Tsum valley trek is a magical enchantment of the Treking which presents the awe-inspiring views of Manaslu and hidden Tsum valley. Day 1: Arrive at Kathmandu airport (1,302m/4,270ft)","Nepal Sanctuary Treks - Day Trip,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3.4,"
Manaslu and Tsum Valley Trek .jpg","
From NPR�273,731.90
"
3,34,"
Upper Mustang Trek - 16 Days ","Explore the wild west of Nepal Himalaya to Upper Mustang in the company of View Nepal Treks expert guidance. Upper Mustang Trek located on the far North West Himalaya in between Dolpo area and North of Annapurna and Dhaulagiri mountain range. Trip Highlights: Ancient caravan trade route to Tibet with incredible sceneries Mustang located on an extension of Tibetan high and vast plateau. Exploring ancient Bon / Buddhist cultures of Tibetan origin Treking to former forbidden kingdom around walled village at Lo-Manthang. This fascinating Upper Mustang trek involves a scenic flight to and from picturesque Pokhara city and Jomsom, the headquarter town of Mustang region. The Upper Mustang trek brings you into the hidden world of the old Buddhist kingdom of Mustang Region.","View Nepal Treks & Expedition,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,5,"
Upper Mustang Trek - 16 Days .jpg","
NPR�148,083 per adult
"
4,35,"
Langtang Valley Trek ","An adventurous and fascinating journey  Langtang Valley Trek in a complete wilderness in the company and guidance of View Nepal Treks with its expert guides and staff. Treking with amazing Langtang  Valley, Himalayan ranges, and local cultures are major attractions of this Langtang Region. Trip Highlights Around beautiful Langtang valley enclosed with high mountains, Exploring old heritage and Buddhist culture of Tamang and Hylamo tribes, Adventure from Langtang to Helambu crossing high picturesque Ganaja-la pass, An adventure to fascinating destinations around Mid North West/East Himalaya. This fabulous adventure Langtang Valley trek leads you to observe awesome scenery in the midst of giant mountain range of Langtang Lirung, Langtang II, Kimshun, Dorji Lakpa and Naya Kanga / Ganjala peak.","View Nepal Treks & Expedition,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,5,"
Langtang Valley Trek .jpg","
From NPR�103,326.33
"
5,36,"
Annapurna Base Camp ","The Annapurna Base Camp is a high glacial basin lying 40 km directly north of Pokhara. This oval-shaped plateau sits at an altitude of over 4000 meters and is surrounded by a ring of mountains, the Annapurna range, most of which are over 7000 meters. It is a classic trek to Annapurna base camp situated under the immense south face of Annapurna. The trek passes through the middle hills of Nepal with Gurung villages and forests of oak, magnolia and rhododendron. The trail then follows the Modi Khola River into the Sanctuary where you enter a hidden amphitheatre with a superb view of snowy peaks. This is not particularly difficult trek although there are some steep climbs and a few narrow bridges. It is a good a trek to do if you would like to get into the high Himalayas without the longer acclimatization period required for some of the other trek. The highest altitude reached is 4,130m at Annapurna Base Camp.  Trek facts:","Nepal Sanctuary Treks - Day Trip,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3,"
Annapurna Base Camp .jpg","
From NPR�147,751.13
"
6,37,"
Recently Open Manaslu Circuit Tea House Trek by Local Guide ","For this Trip you need to be physically fitness and mentally well prepare.  Some days you need to walk 8 to 9 hours, which is more than average walking in a day. It could do just Camping organize trip last three years ago but there is basic Teahouse entire trip now a days.  Mostly, you will stay in Lodge and having food same place (Dhal Bhat=main Nepali food, Fried rice, Bread, Boiled and fried eggs, Potato, Noodles, porridge, tea coffee tec.)  But if you have additional some days you may visit Tsum Valley area also, this is home stay trip (where you can have the food there at someone house and provide accommodation). If you have time, I would like recommend you Tsum Valley too; which is itself restricted area and open since 2007.   This trip is combination of cultural and religious, which is a unique trip among numbers Treking trail of the Nepal. This trip is combination of unique cultural and religious, which is a unique trip among numbers Treking trail of the Nepal. ","Nepal Mother House,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,2,"
Recently Open Manaslu Circuit Tea House Trek by Local Guide .jpg","
NPR�98,243 per adult
"
7,38,"
Mardi Himal Trek ","If you are looking for a newly opened and untouched route in Nepal then, Mardi Himal Trek is best suited for you. Officially opened in 2012, this trek is a combination of both adventure and serenity. Completed within 5-10 days (with basic tea-house or camping), Mardi Himal Trek offers the trekkers the dramatic panoramas of Mardi Himal, Annapurna, Machhapuchre and Himchuli ranges. It is an assorted trek that makes the trekkers experience the beauty of flora and fauna along the route, walk via verdant forests, massive landscapes, eye catching Himalayan peaks and Rhododendron forests.","Randonnee Nepal Treks,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,5,"
Mardi Himal Trek .jpg","
NPR�75,124 per adult
"
8,39,"
Rebuild Gorkha ","On April 25, 2015, a massive 7.8 magnitude earthquake, also recognized as the Gorkha Earthquake, hit Nepal without caution. Killing 9,000 people and harming more than 23,000, it is the most awful natural disaster to happen in the country since 1934. Followed by a 7.3 magnitude earthquake on May 12, almost 400 after-shocks, and still counting, Nepal sustained a major setback caused by the loss of people and property. Rebuild Gorkha Trek is an opportunity for benevolent people to volunteer in the earthquake affected areas of Gorkha district including Barpak, the epicenter of 2015 Nepal Earthquake.","Himalayan Summit Treks And Expedition,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,4.5,"
Rebuild Gorkha .jpg","
NPR�93,933 per adult
"
9,40,"
Bungee Jumping in Nepal ","Wild people with wilder thought once visit Nepal to experience the heart pounding thrill of plunging off a suspension bridge above river canyon. The one word ""Courage"" is needed to get un-forgettable memories for life-time. The ultimate thrill of a bungee jump is now experienced at Tatopani, Nepal-Tibet border, it is 3-hours bus ride from Kathmandu.The Gorge","Nepal Holiday Treks and Tours,18552755071",Bagmati,Kathmandu,Hiking And Treking,0,0,3,"
Bungee Jumping in Nepal .jpg","
From NPR�37,904.74
"
